Account.ExternalID__c,Amount,CloseDate,CreatedDate,LeadSource,Name,StageName,Type,Difficulty__c,ExternalID__c
ACC-629,26000,2024-05-29,2020-05-08T03:02:00+0200,Other,Evolve synergistic e-tailers,Closed Won,New Customer,5,Opp-1
ACC-255,122000,2025-01-02,2024-07-08T14:01:00+0200,Web,Synthesize granular niches,Needs Analysis,Existing Customer - Replacement,15,Opp-2
ACC-32,140000,2025-02-01,2020-03-12T15:44:00+0200,Other,Seize sticky technologies,Closed Lost,New Customer,95,Opp-3
ACC-472,72000,2024-07-14,2022-09-01T07:12:00+0200,Trade Show,Enable out-of-the-box eyeballs,Value Proposition,New Customer,95,Opp-4
ACC-404,114000,2024-09-12,2022-03-05T23:15:00+0200,Direct Mail,Transform world-class users,Value Proposition,Existing Customer - Downgrade,10,Opp-5
ACC-922,35000,2025-02-15,2025-01-01T14:28:00+0200,Phone Inquiry,Disintermediate plug-and-play experiences,Qualification,Existing Customer - Downgrade,30,Opp-6
ACC-566,120000,2024-10-20,2020-03-07T03:40:00+0200,Direct Mail,Aggregate virtual synergies,Perception Analysis,New Customer,70,Opp-7
ACC-585,243000,2024-08-12,2021-01-06T08:53:00+0200,Other,Reinvent dynamic e-tailers,Perception Analysis,Existing Customer - Downgrade,55,Opp-8
ACC-23,197000,2024-06-13,2022-08-02T07:43:00+0200,Direct Mail,Generate killer partnerships,Qualification,Existing Customer - Replacement,5,Opp-9
ACC-174,116000,2024-06-11,2021-01-03T04:56:00+0200,Other,Enable dynamic deliverables,Closed Won,Existing Customer - Upgrade,10,Opp-10
ACC-553,43000,2024-12-20,2021-03-05T14:57:00+0200,Trade Show,Harness customized markets,Value Proposition,Existing Customer - Downgrade,5,Opp-11
ACC-993,79000,2025-02-17,2024-12-10T03:04:00+0200,Direct Mail,Enhance proactive web-readiness,Id. Decision Makers,Existing Customer - Replacement,100,Opp-12
ACC-667,174000,2024-07-14,2023-12-10T17:55:00+0200,Direct Mail,Orchestrate front-end models,Proposal/Price Quote,New Customer,10,Opp-13
ACC-512,198000,2024-04-05,2024-03-12T22:05:00+0200,Other,Generate granular platforms,Negotiation/Review,Existing Customer - Upgrade,35,Opp-14
ACC-827,31000,2024-07-27,2020-02-29T13:50:00+0200,Partner Referral,Monetize 24/7 systems,Closed Won,Existing Customer - Upgrade,35,Opp-15
ACC-779,17000,2024-08-02,2023-01-08T11:48:00+0200,Phone Inquiry,Expedite visionary interfaces,Value Proposition,Existing Customer - Replacement,100,Opp-16
ACC-569,26000,2025-03-22,2023-06-11T09:40:00+0200,Phone Inquiry,Incubate seamless channels,Closed Lost,Existing Customer - Downgrade,80,Opp-17
ACC-384,205000,2024-04-16,2023-09-02T04:59:00+0200,Web,Incubate 24/7 channels,Closed Won,Existing Customer - Replacement,45,Opp-18
ACC-545,35000,2024-08-09,2021-06-10T03:49:00+0200,Other,Visualize cross-media e-markets,Proposal/Price Quote,Existing Customer - Downgrade,40,Opp-19
ACC-535,95000,2024-06-13,2024-08-11T10:32:00+0200,Partner Referral,Repurpose back-end channels,Prospecting,New Customer,15,Opp-20
ACC-728,138000,2024-09-11,2024-01-12T19:07:00+0200,Partner Referral,Leverage strategic web-readiness,Perception Analysis,Existing Customer - Replacement,10,Opp-21
ACC-935,142000,2024-12-16,2023-12-31T13:21:00+0200,Phone Inquiry,Re-intermediate killer eyeballs,Id. Decision Makers,Existing Customer - Replacement,35,Opp-22
ACC-386,95000,2024-07-22,2023-07-11T14:21:00+0200,Direct Mail,Evolve innovative bandwidth,Prospecting,New Customer,20,Opp-23
ACC-545,171000,2025-01-14,2022-07-08T00:53:58+0200,Direct Mail,Visualize bricks-and-clicks vortals,Closed Won,New Customer,60,Opp-24
ACC-208,181000,2024-08-28,2021-02-06T01:45:00+0200,Direct Mail,Facilitate compelling web services,Value Proposition,New Customer,0,Opp-25
ACC-626,16000,2024-09-23,2021-06-03T09:56:00+0200,Partner Referral,Transition distributed metrics,Closed Lost,New Customer,60,Opp-26
ACC-109,144000,2024-06-11,2021-04-02T14:53:00+0200,Other,Leverage world-class web-readiness,Closed Won,Existing Customer - Replacement,75,Opp-27
ACC-349,90000,2024-05-21,2021-02-12T00:51:00+0200,Phone Inquiry,Benchmark holistic schemas,Negotiation/Review,Existing Customer - Replacement,40,Opp-28
ACC-429,101000,2024-06-11,2020-05-10T10:32:00+0200,Web,Reinvent granular portals,Negotiation/Review,Existing Customer - Downgrade,100,Opp-29
ACC-414,166000,2024-05-08,2024-06-05T05:15:00+0200,Phone Inquiry,Unleash sticky convergence,Perception Analysis,Existing Customer - Replacement,30,Opp-30
ACC-471,82000,2025-03-29,2021-06-02T00:56:00+0200,Partner Referral,Target seamless metrics,Closed Lost,New Customer,40,Opp-31
ACC-471,54000,2024-08-12,2021-01-02T03:20:00+0200,Partner Referral,Cultivate plug-and-play e-tailers,Id. Decision Makers,Existing Customer - Replacement,35,Opp-32
ACC-616,73000,2024-04-12,2023-05-12T18:29:00+0200,Phone Inquiry,Implement virtual e-business,Qualification,Existing Customer - Downgrade,60,Opp-33
ACC-760,60000,2024-08-21,2022-01-31T12:06:00+0200,Direct Mail,Target magnetic solutions,Perception Analysis,Existing Customer - Downgrade,90,Opp-34
ACC-831,76000,2024-09-08,2024-09-04T11:12:00+0200,Phone Inquiry,Facilitate cross-platform architectures,Qualification,New Customer,20,Opp-35
ACC-298,44000,2024-04-17,2021-10-05T20:37:00+0200,Partner Referral,Utilize revolutionary applications,Value Proposition,Existing Customer - Upgrade,20,Opp-36
ACC-342,167000,2025-01-08,2024-04-11T10:56:00+0200,Trade Show,Revolutionize end-to-end networks,Negotiation/Review,Existing Customer - Upgrade,10,Opp-37
ACC-200,83000,2024-12-16,2023-08-03T21:49:00+0200,Partner Referral,Visualize e-business roi,Proposal/Price Quote,New Customer,70,Opp-38
ACC-281,34000,2025-03-14,2022-10-01T17:26:00+0200,Other,E-enable out-of-the-box applications,Qualification,New Customer,25,Opp-39
ACC-737,61000,2025-02-05,2025-03-03T10:16:00+0200,Direct Mail,Empower one-to-one channels,Id. Decision Makers,Existing Customer - Upgrade,0,Opp-40
ACC-862,159000,2024-10-03,2021-11-07T14:51:00+0200,Web,Engineer synergistic communities,Perception Analysis,Existing Customer - Upgrade,95,Opp-41
ACC-409,209000,2024-06-26,2023-08-02T13:54:00+0200,Direct Mail,Expedite enterprise info-mediaries,Value Proposition,New Customer,75,Opp-42
ACC-246,228000,2024-08-01,2023-12-10T02:59:00+0200,Direct Mail,Morph next-generation web services,Proposal/Price Quote,Existing Customer - Replacement,70,Opp-43
ACC-713,115000,2024-06-09,2021-04-07T06:56:00+0200,Web,Visualize proactive metrics,Prospecting,Existing Customer - Replacement,15,Opp-44
ACC-416,124000,2024-04-01,2021-12-03T02:42:00+0200,Direct Mail,Grow cutting-edge portals,Proposal/Price Quote,New Customer,10,Opp-45
ACC-452,149000,2025-03-17,2023-12-07T12:17:00+0200,Trade Show,Exploit virtual partnerships,Prospecting,Existing Customer - Downgrade,95,Opp-46
ACC-675,26000,2024-10-08,2024-02-12T11:23:00+0200,Phone Inquiry,Syndicate killer convergence,Closed Won,New Customer,75,Opp-47
ACC-807,217000,2025-03-23,2023-07-05T13:36:00+0200,Direct Mail,Grow e-business web services,Proposal/Price Quote,Existing Customer - Downgrade,40,Opp-48
ACC-39,51000,2024-07-28,2022-05-02T19:05:00+0200,Web,Empower customized communities,Closed Won,New Customer,5,Opp-49
ACC-81,22000,2024-12-15,2021-01-10T18:53:00+0200,Partner Referral,Target ubiquitous info-mediaries,Value Proposition,New Customer,40,Opp-50
ACC-734,132000,2024-09-13,2024-07-31T00:08:00+0200,Web,Streamline compelling e-commerce,Negotiation/Review,New Customer,10,Opp-51
ACC-31,205000,2024-04-07,2021-09-07T00:53:00+0200,Trade Show,Target impactful channels,Proposal/Price Quote,Existing Customer - Replacement,10,Opp-52
ACC-263,57000,2024-09-02,2020-07-09T02:01:00+0200,Web,Unleash cross-media mindshare,Id. Decision Makers,Existing Customer - Downgrade,35,Opp-53
ACC-489,45000,2025-03-07,2022-06-07T07:45:00+0200,Trade Show,Envisioneer efficient architectures,Perception Analysis,Existing Customer - Upgrade,35,Opp-54
ACC-585,145000,2024-12-01,2022-06-09T15:58:00+0200,Phone Inquiry,Evolve innovative methodologies,Prospecting,New Customer,15,Opp-55
ACC-712,36000,2024-12-16,2024-08-04T09:29:00+0200,Web,Empower robust initiatives,Needs Analysis,Existing Customer - Downgrade,80,Opp-56
ACC-430,123000,2025-01-11,2023-02-11T22:11:00+0200,Partner Referral,E-enable magnetic partnerships,Qualification,Existing Customer - Downgrade,30,Opp-57
ACC-736,13000,2024-08-24,2022-07-02T14:19:00+0200,Partner Referral,Repurpose dynamic initiatives,Perception Analysis,Existing Customer - Replacement,0,Opp-58
ACC-573,73000,2024-09-14,2024-11-08T20:46:00+0200,Other,Matrix world-class metrics,Closed Won,Existing Customer - Downgrade,45,Opp-59
ACC-908,90000,2024-06-24,2022-12-31T21:47:00+0200,Partner Referral,Enhance 24/7 bandwidth,Negotiation/Review,Existing Customer - Upgrade,95,Opp-60
ACC-650,208000,2024-08-13,2021-03-13T00:17:58+0200,Phone Inquiry,Re-intermediate viral e-tailers,Qualification,Existing Customer - Downgrade,50,Opp-61
ACC-650,60000,2024-07-24,2021-09-11T05:21:00+0200,Other,Cultivate user-centric e-markets,Id. Decision Makers,Existing Customer - Upgrade,50,Opp-62
ACC-422,20000,2024-08-28,2024-08-02T04:59:00+0200,Web,Streamline bricks-and-clicks info-mediaries,Id. Decision Makers,Existing Customer - Replacement,65,Opp-63
ACC-439,39000,2024-11-24,2023-06-12T13:14:00+0200,Web,Engage leading-edge synergies,Proposal/Price Quote,Existing Customer - Upgrade,15,Opp-64
ACC-742,246000,2025-03-07,2023-11-12T14:19:00+0200,Web,Harness value-added experiences,Closed Won,Existing Customer - Downgrade,30,Opp-65
ACC-438,171000,2024-03-30,2021-07-03T18:38:00+0200,Trade Show,Scale turn-key metrics,Value Proposition,Existing Customer - Replacement,15,Opp-66
ACC-46,37000,2024-07-16,2022-07-11T22:21:00+0200,Phone Inquiry,Empower real-time convergence,Perception Analysis,Existing Customer - Downgrade,30,Opp-67
ACC-463,156000,2024-12-28,2021-08-03T13:02:58+0200,Other,Orchestrate clicks-and-mortar architectures,Negotiation/Review,Existing Customer - Downgrade,70,Opp-68
ACC-143,96000,2024-09-20,2020-11-02T21:08:00+0200,Web,Grow customized web services,Qualification,Existing Customer - Downgrade,0,Opp-69
ACC-126,246000,2024-10-10,2023-12-12T17:08:00+0200,Other,Synthesize cutting-edge action-items,Negotiation/Review,Existing Customer - Upgrade,20,Opp-70
ACC-613,46000,2024-11-21,2023-03-06T13:57:00+0200,Direct Mail,Deploy interactive niches,Value Proposition,New Customer,30,Opp-71
ACC-164,14000,2024-05-03,2023-10-09T12:26:00+0200,Trade Show,Drive clicks-and-mortar initiatives,Closed Won,Existing Customer - Replacement,85,Opp-72
ACC-1000,136000,2024-06-09,2023-06-08T19:16:00+0200,Partner Referral,Streamline value-added deliverables,Prospecting,Existing Customer - Upgrade,20,Opp-73
ACC-105,81000,2024-07-30,2020-07-08T14:03:00+0200,Partner Referral,Benchmark transparent metrics,Negotiation/Review,New Customer,0,Opp-74
ACC-983,204000,2024-11-15,2023-11-12T02:03:00+0200,Partner Referral,Maximize out-of-the-box users,Proposal/Price Quote,Existing Customer - Upgrade,70,Opp-75
ACC-443,215000,2025-02-10,2022-12-05T12:53:00+0200,Web,Leverage wireless solutions,Needs Analysis,New Customer,0,Opp-76
ACC-421,209000,2024-10-28,2023-11-10T07:57:00+0200,Direct Mail,Expedite innovative mindshare,Qualification,New Customer,25,Opp-77
ACC-556,31000,2025-01-28,2020-04-10T00:38:00+0200,Web,Brand vertical initiatives,Perception Analysis,Existing Customer - Downgrade,15,Opp-78
ACC-756,162000,2025-03-15,2023-09-04T22:45:00+0200,Trade Show,Cultivate visionary platforms,Closed Won,Existing Customer - Replacement,60,Opp-79
ACC-731,16000,2024-05-27,2023-05-31T13:18:00+0200,Direct Mail,Morph visionary methodologies,Prospecting,New Customer,70,Opp-80
ACC-436,61000,2025-02-23,2025-02-01T06:47:00+0200,Trade Show,Re-intermediate killer applications,Id. Decision Makers,Existing Customer - Upgrade,95,Opp-81
